file,byte_size,records,text_entries,coverage_percent,coverage_status,roundtrip_pass,sha256,plugin
CGMODE.BIN,2640,1365,0,100.0,OK,True,77dd6577dd9151cc30d1abf6c59e66fe3e4c7d125e5fe0ab96e18728f5d2e143,generic_ps2_vm_lexical
COLOR.BIN,995,384,32,100.0,OK,True,f0750ea0f4ed35d5e0674a8f19fe174b86505a5e69473ecb3fa2cc513f45a7a8,generic_ps2_vm_lexical
DEBUG.BIN,29691,14121,554,100.0,OK,True,7663089047cf89fe08bdd4510f142a81682bc480a911bf556e8fd1e8cb6d52a9,generic_ps2_vm_lexical
INITIAL.BIN,35,16,1,100.0,OK,True,c2194ac4cd3b03cac0bbc11b54b34256290a813ff7c6ee0b52db7847420aaa20,generic_ps2_vm_lexical
MASKTEST.BIN,2940,1562,20,100.0,OK,True,89492fce0c5e16f47ad75638464ff7e4e584a24f1d844e99d241a5ec88d1fc9d,generic_ps2_vm_lexical
MESSAGES.BIN,929046,48389,15621,100.0,OK,True,fd3cc22d7bcb1f116ac0ee9c2d62186c366626f8e9d1cd8f82b202aa2e0d46c3,messages_table_cp932
PROLOG.BIN,85,43,1,100.0,OK,True,c781c18772421049d1d5d36536cae4aaf68f81bcb87d9715614fa201fece1c78,generic_ps2_vm_lexical
PS2A001A.BIN,5238,1775,76,100.0,OK,True,7e6ab594c685eec9e299b164ca8767cfc3556e65b1582dddc97b4d224c189478,generic_ps2_vm_lexical
PS2A002A.BIN,3565,681,35,100.0,OK,True,25485f75603b48203ce496251d5b0c88c9a092d0d83dfacdab9f79136e7ebacd,generic_ps2_vm_lexical
PS2A003A.BIN,125,67,1,100.0,OK,True,1dc8d4049d7ae2722eae29b6f8a70c63b25b4ba2a6add2e484240824b308c979,generic_ps2_vm_lexical
PS2A004A.BIN,2448,586,26,100.0,OK,True,2b0d263b518d82270e866d9939856749f464cbfc7ab7bd917564bcc345109b18,generic_ps2_vm_lexical
PS2A005A.BIN,2656,525,28,100.0,OK,True,3ad51a8a8f45e805721631f9687bd2efce3712cd1a891ba84ec024c9f8c377e7,generic_ps2_vm_lexical
PS2A006A.BIN,8224,2424,98,100.0,OK,True,074af9d7c872a89e326d6f30bf1d126985c74e4bdf40eb9468cf312ac79e08f1,generic_ps2_vm_lexical
PS2A007A.BIN,6066,1988,81,100.0,OK,True,831a78ac40687092a26580df06442411e1b3d703c3ebe65220b77dffbc1f1133,generic_ps2_vm_lexical
PS2A008A.BIN,4415,1228,55,100.0,OK,True,c2c9445d30b1aa094c217225cba54cea4213e7b1a4f1deffa2597e013b05413c,generic_ps2_vm_lexical
PS2A009A.BIN,6161,1757,86,100.0,OK,True,87c144295888286f1fe69aecc7c0598bd492600aef367e745d89df1c74d933bc,generic_ps2_vm_lexical
PS2A010A.BIN,3993,960,44,100.0,OK,True,91d2b762f8a0c1d89aab594311709cbd11840ce3a9485972e401172668350974,generic_ps2_vm_lexical
PS2A011A.BIN,3349,1034,48,100.0,OK,True,de5c2f6446bff0417fba344a30127ccbac7a59a33483785604773aebc4aa3917,generic_ps2_vm_lexical
PS2A012A.BIN,125,67,1,100.0,OK,True,f653cf002fa722c6ab772b9d45e39479e27a5fe5454ac5ac59d48d7dea20fed2,generic_ps2_vm_lexical
PS2A013A.BIN,12333,3975,168,100.0,OK,True,fd308e812ef733097b482275c828b51d9b9ef96f265af17039b09957f4d867b2,generic_ps2_vm_lexical
PS2A014A.BIN,6029,1298,63,100.0,OK,True,be008e2c99e62c0f8dd403039fc1dfe74671e2126e230d0b1fadf0384478abcd,generic_ps2_vm_lexical
PS2A015A.BIN,11705,2899,143,100.0,OK,True,11390efab1a7416e196e5f9b76760c2c9e2706aa441a7476e89f9f860deeac67,generic_ps2_vm_lexical
PS2A016A.BIN,8042,2294,116,100.0,OK,True,336bfb5b9743ad8dbe2eedadc78bb2fd32f9a62402d4db9523ab579849410d43,generic_ps2_vm_lexical
PS2A017A.BIN,10807,3129,139,100.0,OK,True,14d15da9087ed850a881b6a2afb7dcf3a201057e41e11e3f94891e9f110a5bb1,generic_ps2_vm_lexical
PS2A018A.BIN,1923,426,21,100.0,OK,True,226d984f69da116d7636cb91378ffc6b7cd9795f736b58b2589e4b729ef4ccb3,generic_ps2_vm_lexical
PS2A019A.BIN,2115,492,23,100.0,OK,True,7c4627693da70628a1fdf6a3970bda74af64f7afb2d42255ac9b89017dd10cee,generic_ps2_vm_lexical
PS2A020A.BIN,2550,666,27,100.0,OK,True,e9d4b79afbd416b4f681d3d4217f68aac685bfc19844f0d8512b32f8e49d6724,generic_ps2_vm_lexical
PS2A021A.BIN,125,67,1,100.0,OK,True,f7d659d123677c74b24d584b802f28e6a6e0bcff24032106283bb03563247bae,generic_ps2_vm_lexical
PS2A022A.BIN,3365,816,31,100.0,OK,True,85f50de9a1c5e59a7dc426bf39b92bc63a6f0edf7da431d85f2a1e7be84e8b2c,generic_ps2_vm_lexical
PS2A023A.BIN,2894,761,30,100.0,OK,True,74f18d769bdee4bea83c6bbe241ada890356349e1813c051b33a84fcee8132e6,generic_ps2_vm_lexical
PS2A024A.BIN,4413,1226,62,100.0,OK,True,ee7028530b253a6d629e93bb54485181ad643594876e38149654842d9af400ec,generic_ps2_vm_lexical
PS2A025A.BIN,8023,2037,99,100.0,OK,True,8b4c1548c964da4638527fc704926b2e5179ecd89c1134941b4cf4c300a92aa1,generic_ps2_vm_lexical
PS2A026A.BIN,2512,649,25,100.0,OK,True,130450bbb25f4fee592aabeac2f3916a62bafa0ada5e60e3de82d5def57a6544,generic_ps2_vm_lexical
PS2A027A.BIN,9410,2421,107,100.0,OK,True,db7a15df83181817a02613b06c2cab28368f11052ff7fbba18c5ac39dcd35948,generic_ps2_vm_lexical
PS2A028A.BIN,18586,4863,223,100.0,OK,True,5de76b8b85a92d96dce35abf1f9746e5325d347f8fcef4a3865553ca0278c1bc,generic_ps2_vm_lexical
PS2A029A.BIN,7514,2149,92,100.0,OK,True,e22bec86f2d308618a296a777c0675d4a40bd89347852005d0f846e0c17ca827,generic_ps2_vm_lexical
PS2A030A.BIN,4629,1281,57,100.0,OK,True,d46eac931439ddb3fd26dbc1e5fac47ee3ccb7cced33d9ba62f103ed45a01977,generic_ps2_vm_lexical
PS2A031A.BIN,2711,583,29,100.0,OK,True,fc9e51b06fc2f15c8e8c47bdff70ae4916b10796482c800893500eeb5dc614f8,generic_ps2_vm_lexical
PS2A032A.BIN,2692,963,37,100.0,OK,True,6249da608b78d68e03f107886dc4b166888750261c9bc943ad883425504ba761,generic_ps2_vm_lexical
PS2A033A.BIN,5679,1591,82,100.0,OK,True,2ece89a84ca65c6943a2b7455f579bda33781c82487f2f843b93a8b9d58b1523,generic_ps2_vm_lexical
PS2A034A.BIN,2794,724,33,100.0,OK,True,21782221e73bbf15b1776dcf9fccdc25db9642b399281fc03f336ba3102dda14,generic_ps2_vm_lexical
PS2A035A.BIN,15381,3804,202,100.0,OK,True,96dad3a8af8b3d4e20e306f9c9e73fbea374c4b76461c408c294a90b28f2c9d3,generic_ps2_vm_lexical
PS2A036A.BIN,2152,612,30,100.0,OK,True,80cda95ece1a9b95b009190dcea16f7f9a0c8815506f8bfc89593aeda31851da,generic_ps2_vm_lexical
PS2A037A.BIN,14531,3403,179,100.0,OK,True,67f8e824eec5272c17627bbb4912efe2c5f7a46f45b47ae9911688bbb5b53708,generic_ps2_vm_lexical
PS2A038A.BIN,8228,2154,105,100.0,OK,True,4a178b9caaa3f6f44324ffde88b7b56d33bd3dd119b66e60b52344cceea946e7,generic_ps2_vm_lexical
PS2A039A.BIN,125,67,1,100.0,OK,True,fd048301c2c66ce041b37d1ffdcbb5902ab579cf7018e3ad7bceb772e3864d68,generic_ps2_vm_lexical
PS2A040A.BIN,15241,4508,193,100.0,OK,True,c8ba8be5a7caef8b7a42c9c8f8ac7ee15e2fc074ba344198dfba3310b90126f8,generic_ps2_vm_lexical
PS2A041A.BIN,818,188,9,100.0,OK,True,a56d70e1e8108923119c074d988816eb4f38ac3bee73d4638a7e09d1be30d2d8,generic_ps2_vm_lexical
PS2A042A.BIN,2387,528,24,100.0,OK,True,bb1c50e0ff6292c7a3405467d7a0c9620590a25d05ef24b02282b1edeebbd6f8,generic_ps2_vm_lexical
PS2A043A.BIN,8728,2344,117,100.0,OK,True,dd928534c17246ad3c943b29a29f3271988fe434ca5e845d96b2aef710af28d7,generic_ps2_vm_lexical
PS2A044A.BIN,5773,1712,79,100.0,OK,True,f4ff09b79116e55eb1482af0be9be6c67502060d1e62a3f5c2c45db22c79563c,generic_ps2_vm_lexical
PS2A045A.BIN,7223,1829,108,100.0,OK,True,1d299af7c01bd7395f4e92351c60f53f71ea739b0f660ae7d968451c857dd589,generic_ps2_vm_lexical
PS2A046A.BIN,15785,3560,209,100.0,OK,True,f50c77b36252dad434f56782819d155a633e65b7c8b976e79737c5309b1df3c0,generic_ps2_vm_lexical
PS2A047A.BIN,30314,6674,345,100.0,OK,True,717d5d653bb1e68f71528962596938de5f71fcf1a2c679df7f07d2a398f23c77,generic_ps2_vm_lexical
PS2A048A.BIN,15711,3433,195,100.0,OK,True,e79e05f2a9040765d5112d7d0d44e687fc79876588e1d74e56076adf0aa069a5,generic_ps2_vm_lexical
PS2A049A.BIN,21787,5510,443,100.0,OK,True,5d3fc8cf76989ea7169f5ad218f6586e46b5a9d47bb669b40c926053fb384072,generic_ps2_vm_lexical
PS2A050A.BIN,20405,4245,241,100.0,OK,True,03030ff2a24d02c413bcc3a7587e900a7658afa767c1d2d5217f7edcc99a38f7,generic_ps2_vm_lexical
PS2A051A.BIN,22917,5035,280,100.0,OK,True,f98d9b618df9c8411d06483f974a6c8b7bae8c85abdb700e11b932d8e839ddb2,generic_ps2_vm_lexical
PS2A052A.BIN,11370,2567,138,100.0,OK,True,dfa297a82509655effb2286e9f20e190ee48715293051ff8e817f3982bf65144,generic_ps2_vm_lexical
PS2A053A.BIN,24789,5197,320,100.0,OK,True,af6ac6a4bdbaa0edb7744f0b0b2b902c982c1562a2757a746ba7f046df09761b,generic_ps2_vm_lexical
PS2A054A.BIN,27492,6089,349,100.0,OK,True,0626d4b712a12fd662128ef051ed91c11fe012a2ce8b62db1f05468527abcf3a,generic_ps2_vm_lexical
PS2A055A.BIN,11166,2378,139,100.0,OK,True,369aee65130a7699cee35da32a353b56eb4135db0cee3babee539808cd4cf436,generic_ps2_vm_lexical
PS2A056A.BIN,34824,7589,430,100.0,OK,True,cb94adfc3dfbba4ac7a5460d9890d75d6c2b4333dcc5e587dd55709519527698,generic_ps2_vm_lexical
