file,pairs,entities
PS2A001A.BIN,23,"EX,HF,KT,MT,NA"
PS2A006A.BIN,33,"HF,KT"
PS2A007A.BIN,34,"HF,KT,MT"
PS2A008A.BIN,14,"HF,KT,MT"
PS2A009A.BIN,29,"HF,KT,MT"
PS2A010A.BIN,4,MT
PS2A011A.BIN,11,MT
PS2A013A.BIN,54,"HF,KT,MT"
PS2A015A.BIN,41,"CM,MT,NA"
PS2A016A.BIN,30,"EX,MT,TA"
PS2A017A.BIN,36,"HF,KT,MT,NA"
PS2A019A.BIN,2,TA
PS2A020A.BIN,4,"MT,NA"
PS2A024A.BIN,16,MT
PS2A025A.BIN,16,"MT,NA,TA"
PS2A026A.BIN,5,IW
PS2A027A.BIN,10,"HF,KT,MT,MU"
PS2A028A.BIN,54,"CM,EX,HF,KT,MT,TA"
PS2A029A.BIN,21,"EX,MT"
PS2A030A.BIN,17,"HF,KT,MT"
PS2A031A.BIN,1,NA
PS2A032A.BIN,10,"KT,MT"
PS2A033A.BIN,23,MT
PS2A034A.BIN,4,MT
PS2A035A.BIN,58,"CM,EX,HF,KT,MT"
PS2A036A.BIN,12,"HF,KT,MT"
PS2A037A.BIN,37,"KT,MT,TA"
PS2A038A.BIN,18,"MT,SI"
PS2A040A.BIN,56,"HF,KT,MT"
PS2A043A.BIN,22,MT
PS2A044A.BIN,20,"MT,SI,TA"
PS2A045A.BIN,25,MT
PS2A046A.BIN,45,"BU,EX,FU,MI,MU,TA,TS"
PS2A047A.BIN,27,"AY,TA"
PS2A048A.BIN,31,"AY,TA"
PS2A049A.BIN,53,"AY,BU,TS"
PS2A050A.BIN,23,"AY,MU"
PS2A051A.BIN,36,AY
PS2A052A.BIN,13,"AY,BU,TS"
PS2A053A.BIN,44,"FU,MI,MU"
PS2A054A.BIN,59,"AY,BU,TS"
PS2A055A.BIN,18,"AY,EX"
PS2A056A.BIN,84,"AY,EX,FU,MT,TA"
PS2A057A.BIN,152,AY
PS2A058A.BIN,34,"EX,FU,IZ"
PS2A059A.BIN,10,AY
PS2A060A.BIN,3,"FU,TA"
PS2A065A.BIN,41,"FU,MK"
PS2A068A.BIN,13,MU
PS2A099A.BIN,13,AY
PS2A099B.BIN,5,AY
PS2A099C.BIN,8,AY
PS2A099D.BIN,2,MT
PS2F001A.BIN,9,IZ
PS2F002A.BIN,19,MT
PS2F003A.BIN,8,IZ
PS2F004A.BIN,34,"CM,HF,KT,MT,NA"
PS2F006A.BIN,2,SI
PS2F007A.BIN,21,"IZ,MT"
PS2F008A.BIN,53,"GT,HF,KT,MT"
PS2F009A.BIN,27,"HF,KT"
PS2F010A.BIN,35,"GT,HT,KT,MT"
PS2F011A.BIN,147,"EX,HF,KT,MT"
PS2F012A.BIN,14,MT
PS2I001A.BIN,15,"EX,IZ"
PS2I002A.BIN,31,"GT,IZ,MT"
PS2I004A.BIN,109,"EX,IZ"
PS2I005A.BIN,169,"IZ,MA"
PS2I007A.BIN,50,"EX,IZ"
PS2I008A.BIN,65,"EX,IZ,KO"
PS2I010A.BIN,61,"IZ,MA"
PS2I011A.BIN,35,"EX,FU,HF,IZ,KT,MT,NA"
PS2I012A.BIN,9,"IZ,KO"
PS2I013A.BIN,68,"IZ,KO,YU"
PS2I014A.BIN,15,"HF,IZ,KT,MT"
PS2I015A.BIN,77,"CM,EX,HF,IZ,KT,MT"
PS2I016A.BIN,28,"IZ,MT"
PS2I017A.BIN,21,IZ
PS2I018A.BIN,73,"IZ,MA"
PS2I019A.BIN,6,IZ
PS2I020A.BIN,37,"KT,MT,SU"
PS2I021A.BIN,54,"EX,IZ"
PS2I022A.BIN,67,"IZ,KT,MT"
PS2I023A.BIN,46,"HF,KT,MT,NA"
PS2I024A.BIN,27,MT
PS2I025A.BIN,21,IZ
PS2I026A.BIN,63,"EX,IZ,SU"
PS2I027A.BIN,32,"IZ,MT"
PS2I028A.BIN,18,"HF,KT"
PS2I029A.BIN,3,MT
PS2I030A.BIN,11,"EX,IZ"
PS2I031A.BIN,53,"IZ,MA"
PS2I032A.BIN,28,MT
PS2I033A.BIN,10,"HF,KT,MT"
PS2I034A.BIN,56,"EX,IZ,KO"
PS2I036A.BIN,98,IZ
PS2I037A.BIN,10,"HF,KT,MT"
PS2I038A.BIN,213,"IZ,SU"
PS2I039A.BIN,39,"HF,KT,MT"
PS2I041A.BIN,5,MA
PS2I042A.BIN,30,KT
PS2I043A.BIN,27,"HF,HT,KT"
PS2I044A.BIN,7,IK
PS2I045A.BIN,27,"MT,SU"
PS2I046A.BIN,26,"IK,SU"
PS2I047A.BIN,49,"KT,MT"
PS2I048A.BIN,8,"IZ,KO"
PS2I049A.BIN,33,"EX,SU"
PS2I050A.BIN,136,"EX,IZ,KO,KY,KZ,SU,YU"
PS2I051A.BIN,67,"EX,SU,YT"
PS2I052A.BIN,117,"EX,IZ,KO,YK"
PS2I053A.BIN,30,"IZ,KO"
PS2I054A.BIN,77,"BU,IZ,KO,MU,TS"
PS2I055A.BIN,41,"IZ,MI"
PS2I056A.BIN,60,"FU,IZ"
PS2I057A.BIN,22,"AY,FU,IZ,SU"
PS2I058A.BIN,38,"IZ,KO,SU"
PS2I099A.BIN,43,"IZ,KO,YU"
PS2T001A.BIN,65,"EX,HF,IW,KT,MT"
PS2T002A.BIN,59,"MT,SI"
PS2T003A.BIN,43,"HF,HT,KT,MT"
PS2T004A.BIN,27,"EX,MT,NA"
PS2T005A.BIN,29,"HF,KT,MT"
PS2T006A.BIN,45,"GT,HT,MT"
PS2T007A.BIN,55,"HF,KT,MT,NA"
PS2T008A.BIN,25,"HF,KT,MT"
